,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B05,SYBR,,Unkn,4535 B,,19.070235672519,19.070235672519,0,69245441491.6234,10.840391188564,69245441491.6234,0,60,
,B06,SYBR,,Unkn,4535 B,,18.8882959174765,18.8882959174765,0,78177543801.7486,10.8930820215567,78177543801.7486,0,60,
,B07,SYBR,,Unkn,4739 B,,19.2097979584309,19.2097979584309,0,63091829669.0396,10.7999731221697,63091829669.0396,0,60,
,B08,SYBR,,Unkn,4739 B,,18.2013522750906,18.2013522750906,0,123601851931.994,11.0920249778549,123601851931.994,0,60,
,B09,SYBR,,Unkn,4739 B,,19.387962985171,19.387962985171,0,56024175383.4235,10.7483754728989,56024175383.4235,0,60,
,B10,SYBR,,Unkn,4758 B,,20.0317538397769,20.0317538397769,0,36469500918.8746,10.561929820082,36469500918.8746,0,60,
,B11,SYBR,,Unkn,4758 B,,19.4764368240437,19.4764368240437,0,52814469764.5809,10.7227529240109,52814469764.5809,0,60,
,B12,SYBR,,Unkn,4758 B,,18.3789339267433,18.3789339267433,0,109798467230.266,11.0405962774721,109798467230.266,0,60,
,C01,SYBR,,Std-3,STD3,,24.6313042770899,24.4044709053035,0.326894684232948,3000000000,9.47712125471966,3000000000,0,60,
,C02,SYBR,,Std-3,STD3,,24.5523396967387,24.4044709053035,0.326894684232948,3000000000,9.47712125471966,3000000000,0,60,
,C03,SYBR,,Std-3,STD3,,24.0297687420818,24.4044709053035,0.326894684232948,3000000000,9.47712125471966,3000000000,0,60,
,C04,SYBR,,Unkn,4531 B,,17.4806736636914,17.4806736636914,0,199865475629.27,11.3007377814187,199865475629.27,0,60,
,C05,SYBR,,Unkn,4531 B,,18.1073143945252,18.1073143945252,0,131600914204.661,11.1192589062434,131600914204.661,0,60,
,C06,SYBR,,Unkn,4531 B,,18.9658481626205,18.9658481626205,0,74237344917.2329,10.8706224310393,74237344917.2329,0,60,
,C07,SYBR,,Unkn,4817 B,,18.6955839390656,18.6955839390656,0,88898115432.0624,10.9488925543771,88898115432.0624,0,60,
,C08,SYBR,,Unkn,4817 B,,18.3073203119135,18.3073203119135,0,115169108588.465,11.0613360054009,115169108588.465,0,60,
,C09,SYBR,,Unkn,4817 B,,19.6041992259101,19.6041992259101,0,48501165399.4996,10.6857521740763,48501165399.4996,0,60,
,C10,SYBR,,Unkn,4817 D,,20.2477879138287,20.2477879138287,0,31576578497.2242,10.499365069932,31576578497.2242,0,60,
,C11,SYBR,,Unkn,4817 D,,19.1034870127844,19.1034870127844,0,67726932054.5962,10.8307614030545,67726932054.5962,0,60,
,C12,SYBR,,Unkn,4817 D,,17.6667420442162,17.6667420442162,0,176543313695.63,11.2468512739802,176543313695.63,0,60,
,D01,SYBR,,Std-4,STD4,,26.7407530369685,26.6776461472854,0.0563362596217147,300000000,8.47712125471966,300000000,0,60,
,D02,SYBR,,Std-4,STD4,,26.6597643703763,26.6776461472854,0.0563362596217147,300000000,8.47712125471966,300000000,0,60,
,D03,SYBR,,Std-4,STD4,,26.6324210345114,26.6776461472854,0.0563362596217147,300000000,8.47712125471966,300000000,0,60,
,D04,SYBR,,Unkn,4792 B,,17.5283154601049,17.5283154601049,0,193615639243.45,11.2869404343919,193615639243.45,0,60,
,D05,SYBR,,Unkn,4792 B,,18.0640521897282,18.0640521897282,0,135452772117.597,11.1317878975424,135452772117.597,0,60,
,D06,SYBR,,Unkn,4792 B,,18.1941157814229,18.1941157814229,0,124199746487.727,11.0941207093744,124199746487.727,0,60,
,D07,SYBR,,Unkn,4745 B,,18.1627847592788,18.1627847592788,0,126821930374.144,11.1031943593576,126821930374.144,0,60,
,D08,SYBR,,Unkn,4745 B,,19.2149253787238,19.2149253787238,0,62876475673.71,10.7984881908183,62876475673.71,0,60,
,D09,SYBR,,Unkn,4745 B,,19.3406182904841,19.3406182904841,0,57821156981.1248,10.7620867775022,57821156981.1248,0,60,
,D10,SYBR,,Unkn,4737 B,,20.2790386191666,20.2790386191666,0,30925354036.2862,10.4903146801726,30925354036.2862,0,60,
,D11,SYBR,,Unkn,4737 B,,19.5782713944221,19.5782713944221,0,49347030980.1826,10.693261027974,49347030980.1826,0,60,
,D12,SYBR,,Unkn,4737 B,,18.2273455456616,18.2273455456616,0,121477871130.579,11.0844971724103,121477871130.579,0,60,
,E01,SYBR,,Unkn,STD5,,27.5289526116776,27.5289526116776,0,245864912.577676,8.39069655492344,245864912.577676,0,60,
,E02,SYBR,,Unkn,STD5,,27.2596274612179,27.2596274612179,0,294235260.989604,8.46869471711886,294235260.989604,0,60,
,E03,SYBR,,Unkn,STD5,,27.4929970079831,27.4929970079831,0,251831186.219001,8.40110951117359,251831186.219001,0,60,
,E04,SYBR,,Unkn,4774 D,,17.5587656620856,17.5587656620856,0,189723826453.65,11.2781218751562,189723826453.65,0,60,
,E05,SYBR,,Unkn,4774 D,,17.5051363023284,17.5051363023284,0,196631574176.297,11.2936532560675,196631574176.297,0,60,
,E06,SYBR,,Unkn,4774 D,,19.296941704999,19.296941704999,0,59529985382.0419,10.7747357759081,59529985382.0419,0,60,
,E07,SYBR,,Unkn,4768 B,,19.1144984315911,19.1144984315911,0,67231442708.3907,10.8275724308081,67231442708.3907,0,60,
,E08,SYBR,,Unkn,4768 B,,19.5990862159736,19.5990862159736,0,48666815821.8938,10.687232932103,48666815821.8938,0,60,
,E09,SYBR,,Unkn,4768 B,,19.6292324178826,19.6292324178826,0,47698246439.3849,10.6785024130926,47698246439.3849,0,60,
,E10,SYBR,,Unkn,4533 B,,19.9336418287505,19.9336418287505,0,38935310355.8208,10.5903436408347,38935310355.8208,0,60,
,E11,SYBR,,Unkn,4533 B,,18.5725686543589,18.5725686543589,0,96498044144.862,10.9845185110049,96498044144.862,0,60,
,E12,SYBR,,Unkn,4533 B,,17.8820582162672,17.8820582162672,0,152930614117.329,11.1844944325108,152930614117.329,0,60,
,F01,SYBR,,NTC,,,27.5103693721239,27.5103693721239,0,NaN,NaN,NaN,0,60,
,F02,SYBR,,NTC,,,27.5227847809251,27.5227847809251,0,NaN,NaN,NaN,0,60,
,F03,SYBR,,NTC,,,27.3804508375008,27.3804508375008,0,NaN,NaN,NaN,0,60,
,F04,SYBR,,Unkn,4798 B,,17.1059903396866,17.1059903396866,0,256595062962.975,11.4092482960429,256595062962.975,0,60,
,F05,SYBR,,Unkn,4798 B,,18.3544266689059,18.3544266689059,0,111607588590.887,11.0476937248086,111607588590.887,0,60,
,F06,SYBR,,Unkn,4798 B,,18.5948177314539,18.5948177314539,0,95076907263.9875,10.9780750462153,95076907263.9875,0,60,
,F07,SYBR,,Unkn,4619 B,,19.1985279250598,19.1985279250598,0,63567772103.791,10.8032369907291,63567772103.791,0,60,
,F08,SYBR,,Unkn,4619 B,,19.9188244589758,19.9188244589758,0,39321931207.4649,10.5946348390723,39321931207.4649,0,60,
,F09,SYBR,,Unkn,4619 B,,19.421218203294,19.421218203294,0,54795458387.0684,10.7387445643389,54795458387.0684,0,60,
,F10,SYBR,,Unkn,4810 B,,20.4895838677041,20.4895838677041,0,26874446381.5695,10.4293395264713,26874446381.5695,0,60,
,F11,SYBR,,Unkn,4810 B,,19.1497947499448,19.1497947499448,0,65667488621.473,10.8173504075059,65667488621.473,0,60,
,F12,SYBR,,Unkn,4810 B,,18.4912305451812,18.4912305451812,0,101876615881.573,11.0080745102181,101876615881.573,0,60,
,G01,SYBR,,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,G02,SYBR,,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,G03,SYBR,,NTC,,,NaN,0,0,NaN,NaN,0,0,60,
,G04,SYBR,,Unkn,4738 B,,18.5872669174074,18.5872669174074,0,95556846004.857,10.9802618067822,95556846004.857,0,60,
,G05,SYBR,,Unkn,4738 B,,20.3123277465196,20.3123277465196,0,30246418108.9386,10.4806739512983,30246418108.9386,0,60,
,G06,SYBR,,Unkn,4738 B,,20.4104964577068,20.4104964577068,0,28329813131.2681,10.4522437098425,28329813131.2681,0,60,
,G07,SYBR,,Unkn,4761 D,,19.619219440997,19.619219440997,0,48017796930.7621,10.6814022306323,48017796930.7621,0,60,
,G08,SYBR,,Unkn,4761 D,,19.9213512057069,19.9213512057069,0,39255731835.3943,10.5939030782211,39255731835.3943,0,60,
,G09,SYBR,,Unkn,4761 D,,19.9986807708608,19.9986807708608,0,37282753300.157,10.5715079771506,37282753300.157,0,60,
,G10,SYBR,,Unkn,4784 B,,19.934135841515,19.934135841515,0,38922486062.9862,10.5902005718058,38922486062.9862,0,60,
,G11,SYBR,,Unkn,4784 B,,18.0991798148525,18.0991798148525,0,132316720666.458,11.1216147288007,132316720666.458,0,60,
,G12,SYBR,,Unkn,4784 B,,18.2054991613952,18.2054991613952,0,123260525508.038,11.0908240149666,123260525508.038,0,60,
,H01,SYBR,,NTC,,,27.8955432655311,27.8955432655311,0,NaN,NaN,NaN,0,60,
