"ID_Band","TimePoint","Treatment","AgeCategory","Sex","Mom_ID","Cohort","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes.x","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell","PlateNumber","TubeID","Extractor","CORT.ng.mL.","Notes.y"
4562,"Baseline","D","Older","F",4290,4,"No","283","248","No","0.4","No","No","U","52","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4562,"Treatment","D","Older","F",4290,4,"No","213","201","No","0.2","0.2","No","U","50","1:28","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4572,"Baseline","A","Older","F",4112,1,"No","162","171","No","0.4","0.3","No","U","56","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA,9,229,"BH",1.602584603,"Was transferred out of bad tube, lysed"
4572,"Treatment","A","Older","F",4112,1,"No","192","239","No","0.4","No","No","U","56","1:09","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA,9,237,"BH",3.389848032,""
4573,"Baseline","D","Older","F",4157,1,"No","209","190","No","0.4","0.5","No","U","54","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA,2,32,"MRM",0.423809289,"Transferred from bad tube, lysed"
4573,"Treatment","D","Older","F",4157,1,"No","239","207","195","0.6","No","No","U/L","54","3:00","","",113,"",NA,NA,NA,NA,NA,NA,NA,2,41,"MRM",1.988843579,"Lysed"
4578,"Baseline","D","Older","F",4171,2,"No","265","271","No","0.4","No","No","U","56","2:55","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA,9,230,"BH",1.602584603,"Lysed"
4578,"Treatment","D","Older","F",4171,2,"No","180","171","No","0.3","No","No","U","58","2:06","032204A","",113,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4579,"Baseline","E","Older","F",4171,2,"No","216","200","No","0.4","0.5","No","U","58","1:30","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA,4,103,"BH",0.631540734,""
4579,"Heat","E","Older","F",4171,2,"No","239","229","No","0.7","No","No","U","60","1:15","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA,4,85,"BH",1.58606877,"NOTE FOR WHOLE PLATE: Ben extracted but Meg pipetted off supernatant during the third round"
