,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,G06,VIC,,Unkn-07,4761B,,23.0741149365575,22.9230760008772,0.152388405744115,366.1441363875,2.56365208352287,409.299283386431,44.3897825687458,60,
,G07,VIC,,Unkn-15,4758B,,23.3784758073415,23.4045336666833,0.115721063407096,294.831807896418,2.46957433552591,290.063239219792,23.5533335954002,60,
,G08,VIC,,Unkn-15,4758B,,23.3040632329596,23.4045336666833,0.115721063407096,310.867423740773,2.49257521406353,290.063239219792,23.5533335954002,60,
,G09,VIC,,Unkn-15,4758B,,23.5310619597487,23.4045336666833,0.115721063407096,264.490486022185,2.42241005466089,290.063239219792,23.5533335954002,60,
,H01,VIC,,NTC-01,NTC,,NaN,0,0,NaN,NaN,0,0,60,
,H02,VIC,,NTC-01,NTC,,NaN,0,0,NaN,NaN,0,0,60,
,H03,VIC,,NTC-01,NTC,,NaN,0,0,NaN,NaN,0,0,60,
,H04,VIC,,Unkn-08,4737B,,23.8381077759859,23.8925037749568,0.114272277120343,212.570205193482,2.32750239176365,204.942182988898,16.2768525759456,60,
,H05,VIC,,Unkn-08,4737B,,23.8155914493528,23.8925037749568,0.114272277120343,216.004189085906,2.33446217374006,204.942182988898,16.2768525759456,60,
,H06,VIC,,Unkn-08,4737B,,24.0238120995317,23.8925037749568,0.114272277120343,186.252154687307,2.27010130565332,204.942182988898,16.2768525759456,60,
,H07,VIC,,Unkn-16,4720B,,24.2298714686803,24.191436629434,0.0627998942267772,160.845341874861,2.206408488133,165.417062166449,7.48588704757473,60,
,H08,VIC,,Unkn-16,4720B,,24.1189660496794,24.191436629434,0.0627998942267772,174.056113248352,2.24068928130259,165.417062166449,7.48588704757473,60,
,H09,VIC,,Unkn-16,4720B,,24.2254723699421,24.191436629434,0.0627998942267772,161.349731376133,2.20776824670329,165.417062166449,7.48588704757473,60,
