,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,C08,SYBR,,Unkn-11,4817B,,15.2425991555951,15.2906982860774,0.058972308916603,160149.30031607,5.20452504559407,155622.584324229,5509.79641120573,58,
,C09,SYBR,,Unkn-11,4817B,,15.356492173736,15.2906982860774,0.058972308916603,149487.600282337,5.17460517023707,155622.584324229,5509.79641120573,58,
,C10,SYBR,,Neg Ctrl,Neg,,29.0274067005632,29.0274067005632,0,38.3031401151169,1.58323437915835,38.3031401151169,0,58,
,D01,SYBR,,Std-04,STD4,,23.4042201860111,22.5817733369117,0.719848760544576,2000,3.30102999566398,2000,0,58,
,D02,SYBR,,Std-04,STD4,,22.2748002042677,22.5817733369117,0.719848760544576,2000,3.30102999566398,2000,0,58,
,D03,SYBR,,Std-04,STD4,,22.0662996204563,22.5817733369117,0.719848760544576,2000,3.30102999566398,2000,0,58,
,D04,SYBR,,Unkn-04,4738B,,17.3705334701147,17.0404975943659,0.331002948967633,44209.2703957654,4.64551334762002,54701.8200114112,10907.3483650858,58,
,D05,SYBR,,Unkn-04,4738B,,16.7085359750768,17.0404975943659,0.331002948967633,65981.3402377255,4.81942113285129,54701.8200114112,10907.3483650858,58,
,D06,SYBR,,Unkn-04,4738B,,17.0424233379063,17.0404975943659,0.331002948967633,53914.8494007428,4.73170839644122,54701.8200114112,10907.3483650858,58,
,D07,SYBR,,Unkn-12,4745B,,15.956169789134,16.1070468386642,0.148358786283292,104008.519765159,5.01706891560115,95191.9389399925,8553.96823211844,58,
,D08,SYBR,,Unkn-12,4745B,,16.1122186116099,16.1070468386642,0.148358786283292,94639.9809081924,4.97607464400927,95191.9389399925,8553.96823211844,58,
,D09,SYBR,,Unkn-12,4745B,,16.2527521152487,16.1070468386642,0.148358786283292,86927.3161466263,4.93915627112749,95191.9389399925,8553.96823211844,58,
,E01,SYBR,,Std-05,STD5,,28.1560069607539,27.4585363246958,0.614963507958221,200,2.30102999566398,200,0,58,
,E02,SYBR,,Std-05,STD5,,27.2252616059974,27.4585363246958,0.614963507958221,200,2.30102999566398,200,0,58,
,E03,SYBR,,Std-05,STD5,,26.9943404073361,27.4585363246958,0.614963507958221,200,2.30102999566398,200,0,58,
,E04,SYBR,,Unkn-05,4810B,,15.9819786110175,16.1243373086207,0.206992283878542,102397.392437887,5.01028889741856,94429.1926546218,11393.5731393128,58,
,E05,SYBR,,Unkn-05,4810B,,16.0292448723901,16.1243373086207,0.206992283878542,99511.2029013754,4.99787197606602,94429.1926546218,11393.5731393128,58,
,E06,SYBR,,Unkn-05,4810B,,16.3617884424545,16.1243373086207,0.206992283878542,81378.982624603,4.91051225613311,94429.1926546218,11393.5731393128,58,
,E07,SYBR,,Unkn-13,4768B,,15.5758900471468,15.4100182979733,0.150765273454655,130908.84861792,5.11696900312871,145122.330475656,13010.4876907392,58,
,E08,SYBR,,Unkn-13,4768B,,15.2813102724709,15.4100182979733,0.150765273454655,156442.797791077,5.19435557418345,145122.330475656,13010.4876907392,58,
,E09,SYBR,,Unkn-13,4768B,,15.3728545743021,15.4100182979733,0.150765273454655,148015.345017971,5.17030674182178,145122.330475656,13010.4876907392,58,
,F01,SYBR,,Std-06,STD6,,29.7380884798267,28.7315484277513,0.874345223298196,20,1.30102999566398,20,0,58,
,F02,SYBR,,Std-06,STD6,,28.2963769492788,28.7315484277513,0.874345223298196,20,1.30102999566398,20,0,58,
,F03,SYBR,,Std-06,STD6,,28.1601798541485,28.7315484277513,0.874345223298196,20,1.30102999566398,20,0,58,
,F04,SYBR,,Unkn-06,4784B,,15.1839126747881,15.1932422911505,0.01152006495985,165936.557714951,5.21994207658991,165005.414112106,1148.14137504273,58,
,F05,SYBR,,Unkn-06,4784B,,15.1896954861786,15.1932422911505,0.01152006495985,165357.128864008,5.21842292292412,165005.414112106,1148.14137504273,58,
,F06,SYBR,,Unkn-06,4784B,,15.2061187124849,15.1932422911505,0.01152006495985,163722.555757358,5.21410851549103,165005.414112106,1148.14137504273,58,
,F07,SYBR,,Unkn-14,4625B,,13.9551183507285,13.9342085551652,0.0589758183211562,348938.011692887,5.54274828205708,353530.225473754,12713.954519458,58,
,F08,SYBR,,Unkn-14,4625B,,13.979880589277,13.9342085551652,0.0589758183211562,343750.392692014,5.53624320296596,353530.225473754,12713.954519458,58,
,F09,SYBR,,Unkn-14,4625B,,13.86762672549,13.9342085551652,0.0589758183211562,367902.27203636,5.56573246989094,353530.225473754,12713.954519458,58,
,G01,SYBR,,Unkn,STD7,,29.6953710662707,29.6953710662707,0,25.5716697839147,1.40775908759861,25.5716697839147,0,58,
,G02,SYBR,,Unkn,STD7,,28.4874839703997,28.4874839703997,0,53.0973603385302,1.72507293127157,53.0973603385302,0,58,
,G03,SYBR,,Unkn,STD7,,28.5965670212639,28.5965670212639,0,49.7068957589239,1.69641664189849,49.7068957589239,0,58,
,G04,SYBR,,Unkn-07,4761B,,10.8524897922465,12.4891956205714,1.91249100403461,2279364.04831732,6.35781369400394,1213082.27421908,1023971.03964414,58,
,G05,SYBR,,Unkn-07,4761B,,14.5914945476794,12.4891956205714,1.91249100403461,237449.496058581,5.37557125221153,1213082.27421908,1023971.03964414,58,
,G06,SYBR,,Unkn-07,4761B,,12.0236025217881,12.4891956205714,1.91249100403461,1122433.27828134,6.05016053432082,1213082.27421908,1023971.03964414,58,
,G07,SYBR,,Unkn-15,4758B,,15.1334272654083,15.1516132213239,0.0587634426864214,171082.139668142,5.23320467319721,169281.373422467,5971.22199684565,58,
,G08,SYBR,,Unkn-15,4758B,,15.1040926368436,15.1516132213239,0.0587634426864214,174144.966603531,5.24091092635152,169281.373422467,5971.22199684565,58,
,G09,SYBR,,Unkn-15,4758B,,15.2173197617198,15.1516132213239,0.0587634426864214,162617.013995728,5.21116598220455,169281.373422467,5971.22199684565,58,
,H01,SYBR,,NTC-01,NTC,,31.5102449691402,29.9879175364395,1.32089311411812,NaN,NaN,NaN,NaN,58,
,H02,SYBR,,NTC-01,NTC,,29.3082891477686,29.9879175364395,1.32089311411812,NaN,NaN,NaN,NaN,58,
,H03,SYBR,,NTC-01,NTC,,29.1452184924097,29.9879175364395,1.32089311411812,NaN,NaN,NaN,NaN,58,
,H04,SYBR,,Unkn-08,4737B,,16.2857819984613,16.1919426697766,0.163214581717884,85207.7836081884,4.93047926875361,90483.1354860997,9172.22039341447,58,
,H05,SYBR,,Unkn-08,4737B,,16.0034792490218,16.1919426697766,0.163214581717884,101074.277579414,5.00464064593057,90483.1354860997,9172.22039341447,58,
,H06,SYBR,,Unkn-08,4737B,,16.2865667618468,16.1919426697766,0.163214581717884,85167.3452706965,4.93027311017547,90483.1354860997,9172.22039341447,58,
,H07,SYBR,,Unkn-16,4720B,,15.3310189331658,15.6750893105825,0.482753766878004,151808.829138134,5.18129703067978,126633.246382883,33740.8296388833,58,
,H08,SYBR,,Unkn-16,4720B,,15.467304961914,15.6750893105825,0.482753766878004,139795.913436522,5.14549447614565,126633.246382883,33740.8296388833,58,
,H09,SYBR,,Unkn-16,4720B,,16.2269440366677,15.6750893105825,0.482753766878004,88294.9965739934,4.94593609404335,126633.246382883,33740.8296388833,58,
